field,title,author,abstract
Evolutionary Biology,Exposure to complex mixtures of urban sediments containing Tyre and Road Wear Particles (TRWPs) increases the germ-line mutation rate in Chironomus riparius,"Lorenzo,Markus,Volker,Martin,Henner,Markus,Lorenzo,Markus,Volker,Martin,Henner,Markus,Lorenzo,Markus,Volker,Martin,Henner","Tyre and road wear particles (TRWPs) are a significant yet often underestimated source of environmental pollution, contributing to the accumulation of microplastics and a complex mixture of contaminants in both terrestrial and aquatic ecosystems. Despite their prevalence, the long-term evolutionary effects of TRWPs, beyond their immediate toxicity, remain largely unknown. In this study, we assessed mutagenicity in the non-biting midge Chironomus riparius, upon exposure to urban sediment collected from a runoff sedimentation basin. To assess the extent of mutagenic effects over multiple generations, we combined the urban sediment exposure model with short-term mutation accumulation lines (MALs) and subsequent whole genome sequencing (WGS). Our results reveal that the exposure to urban sediment significantly increases mutation rates compared to control groups by 50%, independent of concentration (0.5% and 10%). To infer potential causal processes, we conducted a comparative analysis with known mutational spectra from experiments with other studies. This comparison showed that the mutation profiles induced by urban sediment clearly clustered with those caused by Benzo[a]Pyrene (BaP), a known polycyclic aromatic hydrocarbon (PAH). A comprehensive chemical characterization of the sediment confirmed a considerable impact of road runoff and traffic-related contamination, including PAHs of primarily petrogenic origin. This suggests that PAH-like compounds present in urban sediments may play a significant role in the observed mutagenic effects. Our study shows that urban sediments influence mutation rates and alter mutational spectra in exposed organisms, potentially compromising genomic stability and shaping evolutionary trajectories. Additionally, we show that comparatively analysing mutational spectra may provide valuable insights into mutational processes. These genetic changes may have profound long-term effects on population dynamics and ecosystem health, underscoring the importance of understanding the evolutionary consequences of environmental pollution."
Epidemiology,Cohort-based smoothing methods for age-specific contact rates,"Yannick,Oswaldo,Christel,Carlo G.,Niel,Yannick,Oswaldo,Christel,Carlo G.,Niel,Yannick,Oswaldo,Christel,Carlo G.","The use of social contact rates is widespread in infectious disease modeling since it has been shown that they are key driving forces of important epidemiological parameters. Quantification of contact patterns is crucial to parametrize dynamic transmission models and to provide insights on the (basic) reproduction number. Information on social interactions, can (for instance) be obtained from population-based contact surveys, such as the European Commission project POLYMOD. Estimation of age-specific contact rates from these studies is often done using a piecewise constant approach or bivariate smoothing techniques. For the latter, typically, smoothing is done in the dimensions of the respondent’s and contact’s age. We propose a new flexible strategy based on a smoothing constrained approach - taking into account the reciprocal nature of contacts - where the contact rates are assumed smooth from a cohort perspective as well as from the age distribution of contacts. This is achieved by smoothing over the diagonal components (including all subdiagonals) of the social contact matrix. This approach is supported by the fact that people age with time and thus motivates smoothly varying contact rates from a cohort angle. Two approaches that allow for smoothing of social contact data over cohorts are proposed namely, (1) reordering of the diagonal components of the social contact matrix; and (2) reordering of the penalty matrix associated with the diagonal components. Parameter estimation is done in the likelihood framework by using constrained penalized iterative reweighted least squares (C-PIRLS), under Poisson and negative Binomial distributional assumptions for the observed contacts. A simulation study underlines the benefits of cohort-based smoothing based on two scalar measures of performance. Finally, the proposed methods are illustrated on the Belgian POLYMOD data of 2006. Code to reproduce the results of the article can be downloaded on this Github repository ,."
Genomics,Heritable non-genetic phenotypes are enriched for stress responses as a form of bet hedging,"Spencer,Zachary,Abhyudai,Mark,Spencer,Zachary,Abhyudai,Mark,Spencer,Zachary,Abhyudai","During manufacturing batches, Chinese hamster ovary (CHO) cells encounter critical levels of environmental stressors such as ammonia, lactate, and osmolality accumulation that can significantly reduce cell health and productivity. It is therefore crucial that stress adaptation and resistance be factored into cell line development (CLD). In this study, we employee population-based transcriptomic and differential gene expression analysis on stress-induced CHO cells to identify biomarkers displaying both heritable and stress-responsive properties. Using this workflow, 199 genes displayed transcriptional variability characteristic of a bistable system that formed four network communities of co-fluctuating genes. These communities were enriched in genes related to the regulation of apoptotic processes and gene expression/metabolic pathways. Seven genes were identified as promising biomarkers for engineering a stress-resistant phenotype. Genetic engineering methods may be employed in the future to bias clonal populations for higher stress tolerance to manufacturing stress, therefore increasing cell health and productivity in at-scale bioreactors."
Developmental Biology,"GLE1 dysfunction compromises cellular homeostasis, spatial organization, and peripheral axon branching","T,S,S,Z,R,M,J,S,S,I,R,J,R,FP,P,R,S,T,S,S,Z,R,M,J,S,S,I,R,J,R,FP,P,R,S,T,S,S,Z,R,M,J,S,S,I,R,J,R,FP,P,R","The GLE1 protein is an enigmatic factor of RNA processing, associated with multiple developmental disorders including lethal congenital contracture syndrome 1 (LCCS1). Using , genetic engineering to study disturbed GLE1 functions under physiological conditions we demonstrate that inactivation of , impedes cellular function and organization and causes pre-gastrulation lethality due to defects in adhesion and lineage specification. In contrast, the knock-in mice genocopying LCCS1-associated , variant (,) survive prenatal period but die suddenly at mid-adulthood. , mice present irregular count and distribution of spinal motor neurons and impaired development of neural crest-derived tissues as demonstrated by defects in their sympathetic innervation of heart ventricles, paravertebral sympathetic ganglia volume, and adrenal chromaffin cell counts. Unlike previously reported for yeast and HeLa cells, analysis of molecular consequences of , variant identified normal poly(A)+ RNA distribution in , cells, which however were impaired in RNA and protein synthesis and simultaneously showed typical signs of cellular senescence. , also induced disturbed stress responses with significant changes in G3BP1-positive stress granule count. Our results show necessity of GLE1 functions for life and indicate that LCCS1 etiology is resultant of pathogenic , variant impinging differentiation of neural crest derivatives and leading to complex multiorgan defects."
Evolutionary Biology,The biogeography of evolutionary radiations on oceanic archipelagos,"Baptiste,Thomas J.,Jose Maria,Christian,Kostas A.,Robert J.,Francois,Baptiste,Thomas J.,Jose Maria,Christian,Kostas A.,Robert J.,Francois,Baptiste,Thomas J.,Jose Maria,Christian,Kostas A.,Robert J.","Evolutionary radiations on oceanic archipelagos (ROAs) have long served as models for understanding evolutionary and ecological processes underlying species diversification. Yet, diversity patterns emerging from ROAs have received relatively little attention from biogeographers, even though characterizing the effect of key geo-environmental factors on island clades species distribution could be important for unraveling diversification dynamics. In this study, we conducted a comparative analysis using island-specific species richness values for approximately one hundred ROAs across major oceanic archipelagos (mostly Hawaii, Canary Islands, Galapagos and Fiji) and taxa (vascular plants, invertebrates and vertebrates). Our aim was to determine whether (1) ROA species richness patterns scale as a function of key geo-environmental factors including island area, geological age, environmental heterogeneity (elevation and topographic complexity) and inter-island isolation, and (2) whether the magnitude of the effects of these factors varies across archipelagos and taxa. Our results identified elevation as a key driver of ROA species richness patterns on islands, supporting existing theoretical and empirical work that highlighted the central role of environmental heterogeneity in driving diversification on oceanic islands. As importantly, we found that the influence of geo-environmental factors varies across archipelagos and taxa, suggesting that unique archipelagic dynamics and biological traits together shape diversification differently. Our findings emphasize the value of applying biogeographical modeling at resolution of individual radiations to improve our understanding of evolutionary processes on oceanic archipelagos."
Ecology,A simple model of population dynamics with beneficial and harmful interaction networks for empirical applications.,"Malyon Diana,Luz Valerie,Matthew Philip,Christopher M,Malyon Diana,Luz Valerie,Matthew Philip,Christopher M,Malyon Diana,Luz Valerie,Matthew Philip","Population dynamic models can forecast changes in the abundances of multiple interconnected species, which makes them potentially powerful tools for managing ecological communities, yet they remain largely under-utilised in applied settings. High data requirements and the ability to only model a narrow range of ecological interactions and/or trophic levels together limits their usefulness when faced with complex and data-poor systems, where beneficial (e.g. mutualism) and harmful (e.g. competition) interactions may operate simultaneously within and between species. We present a model of population dynamics that can describe a wide range of ecological interaction outcomes with a simple, unified structure. Species growth rates are constrained by a maximum growth rate parameter which prevents the risk of population explosions even in the case of mutualism. Species interactions are defined by two, not mutually-exclusive interactions matrices that describe the effects of beneficial and harmful interactions respectively, together providing the potential for the net effect of interactions between one species and another to switch from beneficial to harmful as population density increases. This model recreates classic dynamics in two-species mutualistic, competitive, and predator-prey scenarios, allowing us to model a wide range of trophic levels and interaction types together within the same equation. The maximum growth rate parameter, theoretically based in intrinsic constraints on reproduction, can be parameterised from a wide range of sources including natural history, historical data, and breeding programs. We illustrate the potential of this model with a data-poor case study of a threatened species and two interacting predators. This new model is generaliseable to a wide range of natural ecological communities. Its model structure lowers data requirements whilst remaining intuitive and biologically realistic, making it an accessible option for predicting community-wide population changes in applied contexts where data is sparse and/or uncertain."
Developmental Biology,An increase in reactive oxygen species underlies neonatal cerebellum repair,"Anna,Salsabiel,Sumru,Jens Bager,Daniel,Adam,Richard P,Alexandra L,Anna,Salsabiel,Sumru,Jens Bager,Daniel,Adam,Richard P,Alexandra L,Anna,Salsabiel,Sumru,Jens Bager,Daniel,Adam,Richard P","The neonatal mouse cerebellum shows remarkable regenerative potential upon injury at birth, wherein a subset of Nestin-expressing progenitors (NEPs) undergoes adaptive reprogramming to replenish granule cell progenitors that die. Here, we investigate how the microenvironment of the injured cerebellum changes upon injury and contributes to the regenerative potential of normally gliogenic,NEPs and their adaptive reprogramming. Single cell transcriptomic and bulk chromatin accessibility analyses of the NEPs from injured neonatal cerebella compared to controls show a temporary increase in cellular processes involved in responding to reactive oxygen species (ROS), a known damage-associated molecular pattern. Analysis of ROS levels in cerebellar tissue confirm a transient increased one day after injury at postanal day 1, overlapping with the peak cell death in the cerebellum. In a transgenic mouse line that ubiquitously overexpresses human mitochondrial catalase (mCAT), ROS is reduced 1 day after injury to the granule cell progenitors, and we demonstrate that several steps in the regenerative process of NEPs are curtailed leading to reduced cerebellar growth. We also provide evidence that microglia are involved in one step of adaptive reprogramming by regulating NEP replenishment of the granule cell precursors. Collectively, our results highlight that changes in the tissue microenvironment regulate multiple steps in adaptive reprogramming of NEPs upon death of cerebellar granule cell progenitors at birth, highlighting the instructive roles of microenvironmental signals during regeneration of the neonatal brain."
Ecology,Switch in parasitic and autotrophic-dominated protist assemblages coupled to seasonal oligotrophic-mesotrophic gradients in the sunlit layer of a subtropical marine ecosystem,"Yoav,Raffaele,Maxim,Gil,Nicolas,Colomban,Miguel,Yoav,Raffaele,Maxim,Gil,Nicolas,Colomban,Miguel,Yoav,Raffaele,Maxim,Gil,Nicolas,Colomban","Protists are major functional players in the oceans. Time-resolved epipelagic protist successions remain poorly described in subtropical ecosystems, limiting current understanding of food web dynamics and responses to environmental changes in these major world-ocean regions. Here, we used amplicon sequencing data and their trait-based annotation to examine the seasonality of planktonic protists in the subtropical Gulf of Aqaba (northern Red Sea). Temperature and nutrients were identified as major drivers of succession. Marked seasonal shifts in protists were detected. The warm, stratified oligotrophic period spanning through spring and summer were dominated by heterotrophs, including parasitic Syndiniales. By contrast, nutrient influx during deep convective-mixing in winter triggered a progressive shift to photoautotrophic communities dominated by few chlorophyte genera. Ephemeral phytoplankton blooms were detected during the mixing-to-stratification transition. Deeper winter mixing resulted in larger blooms dominated by diatoms and coccolithophores relative to chlorophytes prevalent during shallower mixing. This illustrates the impact of mixing-depth in the development and compostion of blooms. Comparisons with oceanwide rDNA datasets indicate that the oligotrophic protist assemblages from the Gulf of Aqaba resemble those from warm, open-oceans. This work provides a detailed assessment of the seasonality in protist communities and dominant functional strategies in a coastal subtropical planktonic ecosystem."
Epidemiology,A phenome-wide approach to identify causal risk factors for deep vein thrombosis,"Andrei-Emil,Caroline J,Lucy J,Jie,Benjamin,Nicholas J,Samantha F,Ingeborg,Emma E,Andrei-Emil,Caroline J,Lucy J,Jie,Benjamin,Nicholas J,Samantha F,Ingeborg,Emma E,Andrei-Emil,Caroline J,Lucy J,Jie,Benjamin,Nicholas J,Samantha F,Ingeborg"," Deep vein thrombosis (DVT) is the formation of a blood clot in a deep vein. DVT can lead to a venous thromboembolism (VTE), the combined term for DVT and pulmonary embolism, a leading cause of death and disability worldwide. Despite the prevalence and associated morbidity of DVT, the underlying causes are not well understood."
Developmental Biology,Developmental pathways underlying sexual differentiation in a U/V sex chromosome system,"Daniel,Guillaume,Min,Olivier,Josue,Fabian B.,Susana M,Daniel,Guillaume,Min,Olivier,Josue,Fabian B.,Susana M,Daniel,Guillaume,Min,Olivier,Josue,Fabian B.","In many multicellular organisms, sexual development is not determined by XX/XY or ZW/ZZ systems but by U/V sex chromosomes. In U/V systems, sex determination occurs in the haploid phase, with U chromosomes in females and V chromosomes in males. Here, we explore several male, female and partially sex-reversed male lines of giant kelp to decipher how U/V sex chromosomes and autosomes initiate male versus female development. We identify a key set of genes on the sex chromosomes involved in triggering sexual development, and characterise autosomal effector genes underlying sexual differentiation. We show that male, but not female, development involves large-scale transcriptome reorganisation with pervasive enrichment in regulatory genes, faster evolutionary rates, and high species specificity of male-biased genes. Our observations imply that a female-like phenotype is the ground state, which is complemented by the presence of a U-chromosome, but overridden by a dominant male developmental program in the presence of a V-chromosome."
Genomics,Micro-RNA 7975 directly regulates MDTH expression and mediates endothelial cell proliferation and migration in the development of early atherosclerosis,"Genesio,Nathan,Genesio,Nathan,Genesio","Cardiovascular disease (CVD) is commonly due to the development of atherosclerosis. Endothelial integrity is critical in the prevention of pathogenesis of atherosclerosis. The key to prevention of CVD is understanding the molecular mechanisms responsible for initiation of early atherosclerosis. MiRNAs are mediators of endothelial homeostasis, and their dysregulation could lead to early atherosclerotic disorder. We previously revealed the expression of miR-7975 in early atherosclerotic lesions. The aim of this study was to investigate the novel roles of miR-7975 on endothelial cell proliferation and migration, and in the regulation of metadherin (MTDH) expression. We performed proliferation and migration assays coupled with luciferase assay. We show that miR-7975 promotes proliferation and migration of endothelial cells and that miR-7976 directly regulates (MTDH), previously associated with cancer pathogenesis. In conclusion our results show miR-7975 could be a potential mediator of endothelial homeostasis and that MTDH is a novel target of miR-7975."
Genomics,Reconstructing the sequence specificities of RNA-binding proteins across eukaryotes,"Alexander,Debashish,Kaitlin U,Cyrus L,Mihai,Hong,Olga,Taykhoom,Kate,Cedrik,Cedric,Matthew T,Timothy R,Quaid,Alexander,Debashish,Kaitlin U,Cyrus L,Mihai,Hong,Olga,Taykhoom,Kate,Cedrik,Cedric,Matthew T,Timothy R,Quaid,Alexander,Debashish,Kaitlin U,Cyrus L,Mihai,Hong,Olga,Taykhoom,Kate,Cedrik,Cedric,Matthew T,Timothy R","RNA-binding proteins (RBPs) are key regulators of gene expression. Here, we introduce EuPRI (Eukaryotic Protein-RNA Interactions) — a freely available resource of RNA motifs for 34,736 RBPs from 690 eukaryotes. EuPRI includes , binding data for 504 RBPs, including newly collected RNAcompete data for 174 RBPs, along with thousands of reconstructed motifs. We reconstruct these motifs with a new computational platform — Joint Protein-Ligand Embedding (JPLE) — which can detect distant homology relationships and map specificity-determining peptides. EuPRI quadruples the number of known RBP motifs, expanding the motif repertoire across all major eukaryotic clades, and assigning motifs to the majority of human RBPs. EuPRI drastically improves knowledge of RBP motifs in flowering plants. For example, it increases the number of , RBP motifs 7-fold, from 14 to 105. EuPRI also has broad utility for inferring post-transcriptional function and evolutionary relationships. We demonstrate this by predicting a role for 12 , RBPs in RNA stability and identifying rapid and recent evolution of post-transcriptional regulatory networks in worms and plants. In contrast, the vertebrate RNA motif set has remained relatively stable after its drastic expansion between the metazoan and vertebrate ancestors. EuPRI represents a powerful resource for the study of gene regulation across eukaryotes."
Epidemiology,A simulation study on the relative role of age groups under differing pertussis transmission scenarios,"Ana I.,Aaron A.,Pejman,Ana I.,Aaron A.,Pejman,Ana I.,Aaron A.",This manuscript has been withdrawn owing to an author dispute.
Ecology,Spatial and seasonal biodiversity variation in a large Mediterranean lagoon using environmental DNA metabarcoding through sponge tissue collection,"Andrea,Ana,Lourdes,Robert Dylan,Sergio,Stefano,Borja,Martin,Angel,Ramon,Ana,Andrea,Ana,Lourdes,Robert Dylan,Sergio,Stefano,Borja,Martin,Angel,Ramon,Ana,Andrea,Ana,Lourdes,Robert Dylan,Sergio,Stefano,Borja,Martin,Angel,Ramon","Ecosystem monitoring is a fundamental tool to avert biodiversity loss, gathering valuable information that can be used to develop conservation policies, evaluating management outcomes, and guiding science-based decision-making. The Mar Menor costal lagoon (South-East of Spain) has experienced episodes of eutrophication due to intensive agriculture and other human activities, causing mass mortalities of marine fauna. In this scenario, biodiversity monitoring is crucial to evaluate the status of fauna and flora and take appropriate measures. Here, our main objective was to assess faunal composition and its spatial and temporal structure associated with the pillars used to support the built recreational well-being facilities along the Mar Menor. We capitalised on the many sea sponges that settle on these structures by collecting tissue samples for subsequent extraction of filtered environmental DNA (i.e.  natural sampler DNA, nsDNA) in northern and southern areas of the lagoon, both in spring and summer. We metabarcoded all samples at the cytochrome oxidase subunit I gene (COI), and reliably identified 76 taxa belonging to nine different phyla, with annelids, poriferans, molluscs and cnidarians being the richest groups. We detected emblematic species of threatened status, such as pipefishes (genus Syngnathus) and the piddock clam, Pholas dactylus, and others known to become invasive, such as the ascidians Styela canopus and Botrylloides niger, the barnacle Amphibalanus amphitrite, and the polychaetes Branchiomma bairdi and Branchiomma boholense. The use of common and widely distributed sponges as natural eDNA samplers allowed us to characterise both spatial and temporal diversity, further emphasizing the importance of this low-cost approach to monitoring biological communities in shallow coastal ecosystems."
Developmental Biology,The NHR-23-regulated putative protease inhibitor mlt-11 gene is necessary for C. elegans cuticle structure and function,"Jmaes Matthew,Ariela,Anton,An A.,Vivian T.,Jordan D.,Jmaes Matthew,Ariela,Anton,An A.,Vivian T.,Jordan D.,Jmaes Matthew,Ariela,Anton,An A.,Vivian T.","C. elegans molting offers a powerful entry point to understanding developmentally programmed apical extracellular matrix remodeling. However, the gene regulatory network controlling this process remains poorly understood. Focusing on targets of NHR-23, a key transcription factor that drives molting, we confirmed the Kunitz family protease inhibitor gene mlt-11 as an NHR-23 target. Through reporter assays, we identified NHR-23-binding sites that are necessary and sufficient for epithelial expression. We generated a translational fusion and demonstrated that MLT-11 is localized to the cuticle and lined openings to the exterior (vulva, rectum, mouth). We created a set of strains expressing varied levels of MLT-11 by deleting endogenous cis-regulatory element sequences. Combined deletion of two cis-regulatory elements caused developmental delay, motility defects, and failure of the cuticle barrier. Inactivation of mlt-11 by RNAi produced even more pronounced defects. mlt-11 is necessary to pattern every layer of the adult cuticle, suggesting a broad patterning role prior to the formation of the mature cuticle. Together these studies provide an entry point into understanding how individual cis-regulatory elements function to coordinate expression of oscillating genes involved in molting and how MLT-11 ensures proper cuticle assembly."
Epidemiology,When do big problems far away become smaller than the problems closer to home,"Tjibbe,Katie L.,Susan,Berit,Tim E.A.,Alan P.,Neil,Derrick W.,A. Sarah,Julie V.,Tjibbe,Katie L.,Susan,Berit,Tim E.A.,Alan P.,Neil,Derrick W.,A. Sarah,Julie V.,Tjibbe,Katie L.,Susan,Berit,Tim E.A.,Alan P.,Neil,Derrick W.,A. Sarah",
Genomics,Investigating the Diuraphis noxia-Triticum aestivum interaction using transcriptomics,"Hendrik W.,Christine H.,Anna-Maria,Hendrik W.,Christine H.,Anna-Maria,Hendrik W.,Christine H.","Aphids often overcome host plant resistance by developing virulence. However, the underlying mechanisms and the precise modifications involved remain poorly understood. Additionally, the molecular response of resistant host plants during compatible (virulent aphid) and incompatible (avirulent aphid) interactions is another area requiring further investigation.
Here, Diuraphis noxia (Russian wheat aphid) biotypes of varying virulence were transferred from susceptible Triticum aestivum to a near-isogenic line containing the Dn7 resistance gene. Transcriptomes of the D. noxia biotypes and the resistant host were sequenced before and after the host shift. 
Transcriptomic analysis indicated that the D. noxia biotypes had unique responses which were involved in detoxification (e.g. L-xylulose reductase), membrane transport (e.g. Tert-1) and epigenetic regulation. In addition, many transposable elements were rapidly differentially regulated between biotypes and because of the host shift. In the host plant, all biotypes induced jasmonic acid signalling and terpenoid biosynthesis. However, the mono- and diterpenoid pathways were only upregulated following feeding by the biotypes avirulent to Dn7 and not SAMv2. 
Rapid differential expression of transposons suggests a mechanism of adaptation for clonally reproducing aphids. Furthermore, SAMv2 may possess mechanisms to modulate the defence response of Dn7-containing T. aestivum."
Developmental Biology,Suppressing PDGFRβ Signaling Enhances Myocyte Fusion to Promote Skeletal Muscle Regeneration,"Siwen,Abigail M,Jaime E,Nikolai J,Benjamin D,Anna,Daniel C,Siwen,Abigail M,Jaime E,Nikolai J,Benjamin D,Anna,Daniel C,Siwen,Abigail M,Jaime E,Nikolai J,Benjamin D,Anna","Muscle cell fusion is critical for forming and maintaining multinucleated myotubes during skeletal muscle development and regeneration. However, the molecular mechanisms directing cell-cell fusion are not fully understood. Here, we identify platelet-derived growth factor receptor beta (PDGFRβ) signaling as a key modulator of myocyte fusion in adult muscle cells. Our findings demonstrate that genetic deletion of Pdgfrβ enhances muscle regeneration and increases myofiber size, whereas PDGFRβ activation impairs muscle repair. Inhibition of PDGFRβ activity promotes myonuclear accretion in both mouse and human myotubes, whereas PDGFRβ activation stalls myotube development by preventing cell spreading to limit fusion potential. Transcriptomics analysis show that PDGFRβ signaling cooperates with TGFβ signaling to direct myocyte size and fusion. Mechanistically, PDGFRβ signaling requires STAT1 activation, and blocking STAT1 phosphorylation enhances myofiber repair and size during regeneration. Collectively, PDGFRβ signaling acts as a regenerative checkpoint and represents a potential clinical target to rapidly boost skeletal muscle repair."
Cell Biology,"Post-transcriptional regulation of cyclin A and cyclin B mRNAs is mediated by Bruno 1 and Cup, and further fine-tuned within P-bodies","Livia V,Samantha N,Harpreet,Diana P,Livia V,Samantha N,Harpreet,Diana P,Livia V,Samantha N,Harpreet","Cell cycle progression is tightly controlled by the regulated synthesis and degradation of Cyclins, such as Cyclin A and Cyclin B, which activate CDK1 to trigger mitosis. Mutations affecting Cyclin regulation are often linked to tumorigenesis, making the study of cyclin mRNA regulation critical for identifying new cancer therapies. In this study, we demonstrate via super-resolution microscopy that cyclin A and cyclin B mRNAs associate with Bruno 1 and Cup in nurse cells. Depletion of either protein leads to abnormal Cyclin A and Cyclin B protein expression and a reduction in mRNA levels for both Cyclins. We further reveal that both cyclin A and cyclin B mRNAs accumulate in P-bodies marked by Me31B. Interestingly, Me31B is not involved in regulating cyclin A mRNA, as no changes in cyclin A mRNA levels or repression were observed upon Me31B depletion. However, cyclin B mRNA shows stage-specific derepression and reduced levels when Me31B is absent. Notably, the association between cyclin B and Cup is strengthened in the absence of Me31B, indicating that this interaction occurs independently of P-bodies. These results highlight the nuanced, mRNA-specific roles of P-body condensates in post-transcriptional regulation, challenging the idea of a uniform, binary mechanism of mRNA repression in P-bodies."
Biochemistry,Effects of METTL3-METTL14 on primary microRNA processing by Drosha-DGCR8,"Brijesh B,Yunsun,Brijesh B,Yunsun,Brijesh B","MicroRNAs modulate most protein-coding genes, and many are regulated during maturation. Chemical modifications of primary transcripts containing microRNAs have been implicated in altering Microprocessor processing efficiency, a key initiating endonucleolytic step performed by Drosha and DGCR8. METTL3-METTL14 produces N6-methyladenosine which is the most common methylation for mRNAs. Genetic experiments suggested that METTL3-METTL14 promotes primary microRNA processing by Microprocessor, but the molecular mechanism still needs to be elucidated. We tested the hypothesis that METTL3-METTL14 or m6A may directly impact Drosha or DGCR8 function during primary microRNA processing. After reconstituting the methyltransferase and processing activities, we show that the presence of METTL3-METTL14 complexes does not affect the processing efficiency of Drosha-DGCR8. We also established a method to prepare m6A-modified primary microRNAs and used them to show that the processing of the transcripts with m6A is similar to those without any modification. Recombinant METTL3-METTL14 and DGCR8 do not form stable complexes, challenging the previous model that depends on enhanced DGCR8 recruitment. Therefore, METTL3-METTL14 or m6A modification does not generally promote Microprocessor-mediated microRNA processing, although they may impact certain cases."
Genomics,The Circadian Isoform Landscape of Mouse Livers,"Alexander,Dori Z.Q.,Luciano,Christopher,Alexander,Dori Z.Q.,Luciano,Christopher,Alexander,Dori Z.Q.,Luciano","The mammalian circadian clock is an autoregulatory feedback process that is responsible for homeostasis in mouse livers. These circadian processes are well understood at the gene-level, however, not well understood at the isoform-level. 
To investigate circadian oscillations at the isoform-level, we used the nanopore-based R2C2 method to create over 78 million highly-accurate, full-length cDNA reads for 12 RNA samples extracted from mouse livers collected at 2 hour intervals. To generate a circadian mouse liver isoform-level transcriptome, we processed these reads using the Mandalorion tool which identified and quantified 58,612 isoforms, 1806 of which showed circadian oscillations. We performed detailed analysis on the circadian oscillation of these isoforms, their coding sequences, and transcription start sites and compiled easy-to-access resources for other researchers. 
This study and its results add a new layer of detail to the quantitative analysis of transcriptomes."
Bioengineering,Thioether-functionalized cellulose for the fabrication of oxidation-responsive biomaterial coatings and films,"Eric Michael,Kate Elizabeth,Matthew Gardner,Laboni Farha,Payton R,Riya,Timothy M,Eric Michael,Kate Elizabeth,Matthew Gardner,Laboni Farha,Payton R,Riya,Timothy M,Eric Michael,Kate Elizabeth,Matthew Gardner,Laboni Farha,Payton R,Riya","Biomaterial coatings and films can prevent premature failure and enhance performance of chronically implanted medical devices. However, current hydrophilic polymer coatings and films have significant drawbacks, including swelling and delamination. To address these issues, we modified hydroxyethyl cellulose with thioether groups to generate an oxidation-responsive polymer, HECMTP. HECMTP readily dissolves in green solvents and can be fabricated as coatings or films with tunable thicknesses. HECMTP coatings effectively scavenge hydrogen peroxide, resulting in conversion of thioether groups to sulfoxide groups on the polymer chain. Oxidation-driven, hydrophobic-to-hydrophilic transitions that are isolated to the surface of HECMTP coatings under physiologically relevant conditions increase wettability, decrease stiffness, and reduce protein adsorption to generate a non-fouling interface with minimal coating delamination or swelling. HECMTP can be used in diverse optical applications and permits oxidation-responsive, controlled drug release. HECMTP films are non-resorbable in vivo and evoke minimal foreign body responses. These results highlight the versatility of HECMTP and support its incorporation into chronically implanted medical devices."
Bioengineering,Synthesis and characterization of chloroquine-modified albumin-binding siRNA-lipid conjugates for improved intracellular delivery and gene silencing in cancer cells,"Justin H.,Eva F.,Nora,Jinqi,Alexander G.,R. Brock,Fang,Richard,Connor G.,Md Jashim,Craig L.,Justin H.,Eva F.,Nora,Jinqi,Alexander G.,R. Brock,Fang,Richard,Connor G.,Md Jashim,Craig L.,Justin H.,Eva F.,Nora,Jinqi,Alexander G.,R. Brock,Fang,Richard,Connor G.,Md Jashim","siRNA therapeutics have considerable potential as molecularly-targeted therapeutics in malignant disease, but identification of effective delivery strategies that mediate rapid intracellular delivery while minimizing toxicity has been challenging. Our group recently developed and optimized an siRNA conjugate platform termed siRNA-L2, which harnesses non-covalent association with endogenous circulating albumin to extend circulation half-life and achieve tumor-selective delivery without the use of traditional cationic lipids or polymers for transfection. To improve intracellular delivery and particularly the endosomal escape properties of siRNA-L2 towards more efficient gene silencing, we report synthesis of siRNA-CQ-L2 conjugates, in which chloroquine (CQ), an endosomolytic quinoline alkaloid, is covalently incorporated into the branching lipid tail structure. We accomplished this via synthesis of a novel CQ phosphoramidite, which can be incorporated into a modular siRNA-L2 backbone using on-column solid-phase synthesis through use of asymmetric branchers with levulinyl-protected hydroxide groups that allow covalent addition of pendant CQ repeats. We demonstrate that siRNA-CQ-L2 maintains the ability to non-covalently bind albumin, and with multiple copies of CQ, siRNA-CQ-L2 mediates higher endosomal disruption, cellular uptake/retention, and reporter gene knockdown in cancer cells. Further, in mice, the addition of CQ did not significantly affect circulation kinetics nor organ biodistribution and did not produce hematologic or organ-level toxicity. Thus, controlled, multivalent conjugation of albumin-binding siRNA-L2 to endosomolytic small molecule compounds holds promise in improving siRNA-L2 knockdown potency while maintaining albumin-binding properties and overall safety."
