title,author,abstract
Catabolism of extracellular glutathione supplies amino acids to support tumor growth,"Fabio,Marco,Emily T.,Nathan P.,Bradley,Yun Pyo,Juliana,Zamira G.,Mete Emir,Huiping,Colin,Fatemeh,Lila D.,Dhvani,Gloria,Sara K.,Jason J.,Ying,Vasilis,Bradley M.,Alexander,Jonathan L.,Joshua,Gina M.,Isaac S.,Fabio,Marco,Emily T.,Nathan P.,Bradley,Yun Pyo,Juliana,Zamira G.,Mete Emir,Huiping,Colin,Fatemeh,Lila D.,Dhvani,Gloria,Sara K.,Jason J.,Ying,Vasilis,Bradley M.,Alexander,Jonathan L.,Joshua,Gina M.,Isaac S.,Fabio,Marco,Emily T.,Nathan P.,Bradley,Yun Pyo,Juliana,Zamira G.,Mete Emir,Huiping,Colin,Fatemeh,Lila D.,Dhvani,Gloria,Sara K.,Jason J.,Ying,Vasilis,Bradley M.,Alexander,Jonathan L.,Joshua,Gina M.,Isaac S.",
Ephrin-A2 and Phosphoantigen-Mediated Selective Killing of Medulloblastoma by γδT Cells Preserves Neuronal and Stem Cell Integrity,"Lola,Mingzhi,Julie,Oscar,Margareta T,Lola,Mingzhi,Julie,Oscar,Margareta T,Lola,Mingzhi,Julie,Oscar,Margareta T"," Medulloblastoma (MB) is a pediatric brain tumor that develops in the cerebellum, representing one of the most common malignant brain cancers in children. Standard treatment includes surgery, chemotherapy, and radiation, but despite a 5-year survival rate of approximately 70%, these therapies often lead to significant neurological damage in the developing brain. This underscores the urgent need for less toxic, more effective therapeutic alternatives. Recent advancements in cancer immunotherapy, including immune checkpoint inhibitors and CAR-T cell therapy, have revolutionized cancer treatment. One promising avenue is the use of Gamma Delta (γδ) T cells, a unique T cell population with potential advantages such as non-alloreactivity, potent tumor cell lysis, and broad antigen recognition. However, their capacity to recognize and target MB cells remains underexplored."
A novel approach to digital characterisation of Tertiary Lymphoid Structures in colorectal cancer,"Luis,Saem Mul,Shelly,Chun-Jen J.,Lisa Y.Y.,Janet L,Taesung,Sonya,John L.,Roslyn A.,P. Rod,Luis,Saem Mul,Shelly,Chun-Jen J.,Lisa Y.Y.,Janet L,Taesung,Sonya,John L.,Roslyn A.,P. Rod,Luis,Saem Mul,Shelly,Chun-Jen J.,Lisa Y.Y.,Janet L,Taesung,Sonya,John L.,Roslyn A.,P. Rod",
TGFβ1-TNFα regulated secretion of neutrophil chemokines is independent of epithelial-mesenchymal transitions in breast tumor cells,"Shuvasree,Erez,Joseph,Kaleb,Pierre A.,Carole A.,Shuvasree,Erez,Joseph,Kaleb,Pierre A.,Carole A.,Shuvasree,Erez,Joseph,Kaleb,Pierre A.,Carole A.","Neutrophils have tumor-promoting roles in breast cancer and are detected in higher numbers in aggressive breast tumors. How aggressive breast tumors recruit neutrophils remains undefined. Here, we investigated the roles of TGF-β1 and TNF-α in the regulation of neutrophil recruitment by breast cancer cells. TGF-β1 and TNF-α are pro-inflammatory factors upregulated in breast tumors and induce epithelial to mesenchymal transitions (EMT), a process linked to cancer cell aggressiveness. We report that, as expected, dual treatment with TGF-β1 and TNF-α induces EMT signatures in premalignant M2 cells, which are part of the MCF10A breast cancer progression model. Conditioned media (CM) harvested from M2 cells treated with TGF-β1/TNF-α gives rise to amplified neutrophil chemotaxis compared to CM from control M2 cells. This response correlates with higher levels of the neutrophil chemokines CXCL1, CXCL2, and CXCL8 and is significantly attenuated in the presence of a CXCL8-neutralizing antibody. Furthermore, we found that secretion of CXCL1 and CXCL8 from treated M2 cells depends on p38MAPK activity. By combining gene editing, immunological and biochemical approaches, we show that the regulation of neutrophil recruitment and EMT signatures are not mechanistically linked in treated M2 cells. Finally, analysis of publicly available cancer cell line transcriptomic databases revealed a significant correlation between CXCL8 and TGF-β1/TNF-α-regulated or effector genes in breast cancer. Together, our findings establish a novel role for the TGF-β1/TNF-α/p38 MAPK signaling axis in regulating neutrophil recruitment in breast cancer, independent of TGF-β1/TNF-α regulated EMT."
Identification of Phosphotyrosine-Mutant Desmin in Human Pancreatic Cancer,"Nancy C,Costel C,Matthew C,Andrew A,Jon J,Nancy C,Costel C,Matthew C,Andrew A,Jon J,Nancy C,Costel C,Matthew C,Andrew A,Jon J","Pancreatic ductal adenocarcinoma (PDAC), a deadly cancer with a 5-year survival rate of ~12%, is characterized by frequently mutated KRAS, early metastasis, and extensive desmoplasia. The latter, a formation of dense fibrotic tissue generated by pancreatic stellar cells (PSC) and tumor cells, makes up to 80% of the tumor mass and often leads to treatment failure. To search for novel protein biomarkers for actionable tyrosine kinase drivers of PDAC, we used a combination of two orthogonal protein analysis methods, western blotting (WB) and mass spectrometry (MS). That is, we used 1D/2D phosphotyrosine (pTyr) WB in combination with nano liquid chromatography tandem mass spectrometry (NanoLC-MS/MS) to analyze homogenates of 6 PDAC tumor samples and 5 normal adjacent tissue controls. Surprisingly, we found a novel, abundant 55 kDa pTyr-protein in 2/6 tumor samples and identified it as mutated pTyr-desmin. Further proteomics analysis of the purified protein cut from multiple Coomassie-stained 2D gels revealed that the mutant amino acid, tyrosine (D399Y), is phosphorylated (pTyr). A possible role for mutant pTyr-desmin in PDAC metastasis is discussed, along with peptide inhibitor drugs."
Charting the molecular landscape of neuronal organisation within the hippocampus using cryo electron tomography,"Calina,Jake L R,Matthew,Rebecca,Ana,Maria E,Thomas S,Avery,Michael,Calina,Jake L R,Matthew,Rebecca,Ana,Maria E,Thomas S,Avery,Michael,Calina,Jake L R,Matthew,Rebecca,Ana,Maria E,Thomas S,Avery,Michael","Cellular cryo-electron tomography (cryoET) enables the capture of detailed structural information within a biologically relevant environment. However, information in more complex samples, such as tissues, is lacking. Importantly, these observations need to be set in context of populations; imaging on the molecular scale to-date is limited to few observations in-situ that struggle to be generalised. This is due to limitations in throughput and versatility employed by current instrumentation. Here, we utilise plasma focused ion beam milling to examine the molecular landscape of mouse hippocampus by cryoET in targeted regions across multiple individuals revealing the complex organisation of macromolecules from the CA1 strata pyramidale (sp) to radiatum (sr). Our data represent a molecular atlas, producing snapshots of hippocampal architecture in adult mouse. The combination of instrumentation and application of technical advancements provides a framework to explore specific structural questions within native tissues in a targeted manner."
Recognition and Cleavage of Human tRNA Methyltransferase TRMT1 by the SARS-CoV-2 Main Protease,"Angel,Xuhang,Saba,Sophie,Evan P,Lucie,Yingkai,Jeffrey S,Angel,Xuhang,Saba,Sophie,Evan P,Lucie,Yingkai,Jeffrey S,Angel,Xuhang,Saba,Sophie,Evan P,Lucie,Yingkai,Jeffrey S","The SARS-CoV-2 main protease (Mpro, or Nsp5) is critical for the production of functional viral proteins during infection and, like many viral proteases, can also target host proteins to subvert their cellular functions. Here, we show that the human tRNA methyltransferase TRMT1 can be recognized and cleaved by SARS-CoV-2 Mpro. TRMT1 installs the N2,N2-dimethylguanosine (m2,2G) modification on mammalian tRNAs, which promotes global protein synthesis and cellular redox homeostasis. We find that Mpro can cleave endogenous TRMT1 in human cell lysate, resulting in removal of the TRMT1 zinc finger domain. TRMT1 proteolysis results in elimination of TRMT1 tRNA methyltransferase activity and reduced tRNA binding affinity. Evolutionary analysis shows that the TRMT1 cleavage site is highly conserved in mammals, except in Muroidea, where TRMT1 is likely resistant to cleavage. In primates, regions outside the cleavage site with rapid evolution could indicate adaptation to ancient viral pathogens.  Furthermore, we determined the structure of a TRMT1 peptide in complex with Mpro, revealing a substrate binding conformation distinct from the majority of available Mpro-peptide complexes. Kinetic parameters for peptide cleavage show that the TRMT1(526-536) sequence is cleaved with comparable efficiency to the Mpro-targeted nsp8/9 viral cleavage site. Mutagenesis studies and molecular dynamics simulations together indicate that kinetic discrimination occurs during a later step of Mpro-mediated proteolysis that follows substrate binding. Our results provide new information about the structural basis for Mpro substrate recognition and cleavage, the functional roles of the TRMT1 zinc finger domain in tRNA binding and modification, and the regulation of TRMT1 activity by SARS-CoV-2 Mpro. These studies could inform future therapeutic design targeting Mpro and raise the possibility that proteolysis of human TRMT1 during SARS-CoV-2 infection suppresses protein translation and oxidative stress response to impact viral pathogenesis."
Mapping the Temporal Landscape of Breast Cancer Using Epigenetic Entropy,"Daniel L.,Shannon T.,Graham J.,Lars J.,E. Shelley,Jeffrey R.,Darryl,Marc D.,Daniel L.,Shannon T.,Graham J.,Lars J.,E. Shelley,Jeffrey R.,Darryl,Marc D.,Daniel L.,Shannon T.,Graham J.,Lars J.,E. Shelley,Jeffrey R.,Darryl,Marc D.","Although generally unknown, the age of a newly diagnosed tumor encodes valuable etiologic and prognostic information. Here, we estimate the age of breast cancers, defined as the time from the start of growth to detection, using a measure of epigenetic entropy derived from genome-wide methylation arrays. Based on an ensemble of neutrally fluctuating CpG (fCpG) sites, this stochastic epigenetic clock differs from conventional clocks that measure age-related increases in methylation. We show that younger tumors exhibit hallmarks of aggressiveness, such as increased proliferation and genomic instability, whereas older tumors are characterized by elevated immune infiltration, indicative of enhanced immune surveillance. These findings suggest that the clock captures a tumor’s effective growth rate resulting from the evolutionary-ecological competition between intrinsic growth potential and external systemic pressures. Because of the clock’s ability to delineate old and stable from young and aggressive tumors, it has potential applications in risk stratification of early-stage breast cancers and guiding early detection efforts."
OpenASO: RNA Rescue—designing splice-modulating antisense oligonucleotides through community science,"Victor,Martin,Jill,Jonathan,Jennifer,Guillermo,Eterna,Rhiju,Jeremy,Michael,Victor,Martin,Jill,Jonathan,Jennifer,Guillermo,Eterna,Rhiju,Jeremy,Michael,Victor,Martin,Jill,Jonathan,Jennifer,Guillermo,Eterna,Rhiju,Jeremy,Michael","Splice-modulating antisense oligonucleotides (ASOs) are precision RNA-based drugs that are becoming an established modality to treat human disease. Previously, we reported the discovery of ASOs that target a novel, putative intronic RNA structure to rescue splicing of multiple pathogenic variants of F8 exon 16 that cause hemophilia A. However, the conventional approach to discovering splice-modulating ASOs is both laborious and expensive. Here, we describe an alternative paradigm that integrates data-driven RNA structure prediction and community science to discover splice-modulating ASOs. Using a splicing-deficient pathogenic variant of F8 exon 16 as a model, we show that 25% of the top-scoring molecules designed in the Eterna OpenASO challenge have a statistically significant impact on enhancing exon 16 splicing. Additionally, we show that a distinct combination of ASOs designed by Eterna players can additively enhance the inclusion of the splicing-deficient exon 16 variant. Together, our data suggests that crowdsourcing designs from a community of citizen scientists may accelerate the discovery of splice-modulating ASOs with potential to treat human disease."
"Calcium-modulated cis and trans E-cadherin EC1-2 interactions play a key role in formation, dynamics and plasticity of cadherin junctions","Patrick,Patrick,Patrick","Classical cadherins are ubiquitous calcium-dependent adhesive glycoproteins required in junction formation in metazoans. Calcium ions are essential for cadherin biological activity, but how they act in synergy is still a matter of controversy. We investigated by cryo-electron microscopy and cryo-electron tomography, a biomimetic system consisting of liposomes decorated with the two first E-cadherin extracellular modules, previously reported as functionally essential in junction formation. We showed that E-cadherin extracellular modules 1 and 2 are sufficient to form junctions in presence of calcium. Together with the first adhesive contacts, we observed the formation of cadherin patches and quasi-crystalline structures on the free surface of proteoliposomes suggesting that calcium complexation induces the self-interaction of the E-cadherin extracellular modules 1 and 2 through cis interactions. We propose that these calcium-dependent cadherin nanoplatforms, by facilitating the formation frequency of trans interactions, most probably favor the formation of junctions. We also observed a cooperative effect between trans and cis interactions leading to the protein depletion of liposome surfaces. Additionally, Cryo-electron tomography experiments performed on extracellular E-cadherin modules 1 and 2-mediated junctions revealed the coexistence of different molecular arrangements previously described from crystallography studies. Thus, this study provides a new insight into biophysical mechanisms underlying how calcium binding modulates cadherin adhesive function, in showing that E-cadherin 1 and 2 modules play a key role through their intrinsic ability to form multiple calcium-dependent cis and trans interactions, in the formation of cadherin junctions contributing to the dynamics and plasticity of cadherin-mediated cell junctions."
Mechanistic Insights into Alcohol-Induced DNA Crosslink Repair by the Fanconi Anemia Nuclease Slx4-Xpf-Ercc1,"Jana,Milan,Andrea,Anthony,Evzen,Radim,Jan,Jana,Milan,Andrea,Anthony,Evzen,Radim,Jan,Jana,Milan,Andrea,Anthony,Evzen,Radim,Jan","During cell division, DNA replication stalls upon alcohol-derived interstrand crosslink, employing DNA repair pathways. Acetaldehyde, a toxic metabolite of alcohol, can induce DNA crosslinks between complementary DNA strands, causing significant genomic instability. The repair of acetaldehyde DNA crosslinks (AA-ICLs) is vital for maintaining genome integrity and preventing mutagenic events. The Fanconi anemia (FA) repair pathway's involvement in fixing the AA-ICLs is crucial, ensuring cellular homeostasis and safeguarding genomic stability. Dysregulation of the FA pathway has been linked to Fanconi anemia, a rare genetic disorder characterized by hypersensitivity to DNA-damaging agents, including acetaldehyde. However, the precise mechanism of the repair and incision of AA-ICLs is unknown. Here, we demonstrate the role of the FA pathway nuclease SLX4-XPF-ERCC1 (SXE) in the repair of AA-ICL. We have generated site-specific AA-ICL within the replication fork, and we found SXE to excise the crosslink from the replication fork, bringing evidence of its role in the repair of alcohol-induced DNA lesions. This nuclease complex performs two precise incisions around the lesion. We also demonstrate that the SXE nuclease excises an abasic site interstrand crosslink in a similar manner. Given the evidence in conjunction with previous repair studies that have been conducted, our work suggests that SXE is a versatile nuclease complex."
"Zymoseptoria tritici proteins structurally related to UmV-KP4 and UmV-KP6 are toxic to fungi, and define novel structural families of fungal effectors","Karine,Lea,Jerome,Andre,Philippe,Francois,Mounia,Justine,Yohann,Thomas,Marc-Henri,Karine,Lea,Jerome,Andre,Philippe,Francois,Mounia,Justine,Yohann,Thomas,Marc-Henri,Karine,Lea,Jerome,Andre,Philippe,Francois,Mounia,Justine,Yohann,Thomas,Marc-Henri","Fungal effectors play crucial roles in plant infection. Despite low sequence identity, their classification into families is feasible using structural homology. In this study, we have elucidated the structures of the two effectors Mycgr3-91409 and Zt-NIP1 from the wheat fungal pathogen Zymoseptoria tritici using X-ray crystallography and NMR. These proteins shared structural homology with, respectively, KP6alpha and KP4 killer toxins, encoded by UmV dsRNA viruses infecting the corn fungal pathogen Ustilago maydis. Consequently, Zt-Mycgr3-91409 and Zt-NIP1 were renamed Zt-KP6-1 and Zt-KP4-1. Orthologs and paralogs of Zt-KP6-1 and Zt-KP4-1 were identified in Zymoseptoria species, but not in other fungi, with the exception of ECP2 effectors related to Zt-KP4-1. A novel pipeline relying on Foldseek and cysteine-pattern constrained HMM searches identified a large number of proteins structurally related to Zt-KP6-1 and Zt-KP4-1 in fungi, and to Zt-KP4-1 in plants. These proteins were classified into distinct structural super families (4 KP4 and 3 KP6) including effectors not known as structurally related to KP4 (ECP2) or KP6 (BAS4). The biological activities of Zt-KP6-1 and Zt-KP4-1 were assessed on plants and fungi. They did not induce symptoms on wheat leaves. However, they inhibited the growth of Botrytis cinerea and Z. tritici, demonstrating their toxicity to fungi. These results highlight the importance of structure determination of effectors for their classification and the prediction of their function."
Identification of RING E3 pseudoligases in the TRIM protein family,"Jane,Diego,Katherine,Coltrane,Tania,Katrin,Jane,Diego,Katherine,Coltrane,Tania,Katrin,Jane,Diego,Katherine,Coltrane,Tania,Katrin","TRIpartite Motif (TRIM) family proteins have diverse roles across a broad variety of cellular functions, which are largely presumed to depend on their ubiquitin E3 ligase activity, conferred by a RING domain. However, recent reports have shown that some TRIMs lack detectable ubiquitination activity in isolation, despite containing a RING domain. Here, we present parallel in cellulo, in vitro, and in silico structure-function analyses of the ubiquitin E3 ligase activity and RING domain structural characteristics of whole TRIM protein family. In-depth follow-up studies of this comprehensive dataset reveals a number of pseudoligases, whose RING domains have structurally diverged at either the homodimerisation or E2~ubiquitin interfaces, thereby disrupting their ability to catalyse ubiquitin transfer. Together, these data raise intriguing open questions regarding the unknown TRIM functions in physiology and disease."
Assessing substrate scope of the cyclodehydratase LynD by mRNA display-enabled machine learning models,"Emma G,Henry,Jarrett M,Brian,Albert,Emma G,Henry,Jarrett M,Brian,Albert,Emma G,Henry,Jarrett M,Brian,Albert","Many of the biosynthetic pathways for ribosomal synthesized and post-translationally modified peptide (RiPP) natural products make use of multi-domain enzymes with separate recruitment and catalysis domains that separately bind and modify peptide substrates.  This division of labor allows RiPP enzymes to use relatively open and promiscuous active sites to perform chemistry at multiple residues within a peptide substrate seemingly regardless of the surrounding context.  Defining, measuring, and predicting the seemingly broad substrate promiscuity of RiPPs necessitates high throughput assays, capable of assessing activity against very large libraries of peptides.  Using mRNA display, a high throughput peptide display technology, we examine the substrate promiscuity of the RiPP cyclodehydratase, LynD.  The vast substrate profiling that can be done with mRNA display enables the construction of deep learning models for accurate prediction of substrate processing by LynD.  These models further inform on epistatic interactions involved in enzymatic processing.  This work will facilitate the further elucidation of other RiPP enzymes and enable their use in the modification of mRNA display libraries for selection of modified peptide-based inhibitors and therapeutics"
Thioether-functionalized cellulose for the fabrication of oxidation-responsive biomaterial coatings and films,"Eric Michael,Kate Elizabeth,Matthew Gardner,Laboni Farha,Payton R,Riya,Timothy M,Eric Michael,Kate Elizabeth,Matthew Gardner,Laboni Farha,Payton R,Riya,Timothy M,Eric Michael,Kate Elizabeth,Matthew Gardner,Laboni Farha,Payton R,Riya,Timothy M","Biomaterial coatings and films can prevent premature failure and enhance performance of chronically implanted medical devices. However, current hydrophilic polymer coatings and films have significant drawbacks, including swelling and delamination. To address these issues, we modified hydroxyethyl cellulose with thioether groups to generate an oxidation-responsive polymer, HECMTP. HECMTP readily dissolves in green solvents and can be fabricated as coatings or films with tunable thicknesses. HECMTP coatings effectively scavenge hydrogen peroxide, resulting in conversion of thioether groups to sulfoxide groups on the polymer chain. Oxidation-driven, hydrophobic-to-hydrophilic transitions that are isolated to the surface of HECMTP coatings under physiologically relevant conditions increase wettability, decrease stiffness, and reduce protein adsorption to generate a non-fouling interface with minimal coating delamination or swelling. HECMTP can be used in diverse optical applications and permits oxidation-responsive, controlled drug release. HECMTP films are non-resorbable in vivo and evoke minimal foreign body responses. These results highlight the versatility of HECMTP and support its incorporation into chronically implanted medical devices."
How the microbiome liberates iron from heme,"Arnab Kumar,Ronivaldo Rodrigues,Emmanuel,Victoria,Mensur,C. Martin,Jennifer,Arnab Kumar,Ronivaldo Rodrigues,Emmanuel,Victoria,Mensur,C. Martin,Jennifer,Arnab Kumar,Ronivaldo Rodrigues,Emmanuel,Victoria,Mensur,C. Martin,Jennifer","The microbiome is a hidden organ system with diverse metabolic roles. Using Bacteroides thetaiotaomicron (B theta) as a model, we asked how microbiome species process iron, the quintessential biometal supporting respiration and life as we know it, when iron is provided in complex with protoporphyrin IX (PPIX) as heme. Canonical pathways for reclaiming heme-iron from host cells or the diet require O2, which is unavailable in the GI tract and many pathological microenvironments. HmuS, a homolog of cobalamine- (vitamin B12) and chlorophyll-building chelatases, is widespread in anaerobic microbial ecosystems. In this work, we provide direct physiological, biochemical, and structural evidence for the anaerobic removal of iron from heme by HmuS, a de-chelatase that deconstructs heme to PPIX and Fe(II). We show that heme can be used as a sole iron source by B theta, yielding PPIX, and that hmuS inactivation under these conditions is lethal. Iron removal from heme depends on the B theta membrane fraction, NADH, and O2 exclusion. Absorbance spectra indicate that heterologously expressed HmuS is isolated with a non-substrate heme bound and can accommodate multiple heme equivalents under saturating conditions. Solution of the cryoEM structure reveals heme and two cations at sites that are conserved across the HmuS family and the chelatase superfamily, respectively. The proposed structure-based mechanism for iron removal further links biosynthetic and biodegradative pathways for heme, chlorophyll, and vitamin B12, 3 ancient and biologically crucial metallocofactors."
Study of Plasma Adiponectin Levels in Patients with Metabolic Syndrome and Therapeutic Indication in Bangladesh,"Salina Shaheen,Reaz,Md Taohid,Ariful,Md. Motiar,M.,Md. Wasim,Md. Sakil,Md. Sohel,Mohammad Amirul,Salina Shaheen,Reaz,Md Taohid,Ariful,Md. Motiar,M.,Md. Wasim,Md. Sakil,Md. Sohel,Mohammad Amirul,Salina Shaheen,Reaz,Md Taohid,Ariful,Md. Motiar,M.,Md. Wasim,Md. Sakil,Md. Sohel,Mohammad Amirul","Background: The metabolic syndrome (Met-S) is a cluster of some interrelated common clinical disorders, including central obesity, dyslipidemia, hypertension, and glucose intolerance. Central obesity, accompanied by insulin resistance, is a key factor for the development of metabolic syndrome. Adiponectin is an adipose-specific plasma protein, secreted from adipocyte with anti-atherogenic and insulin-sensitizing activities.
Purpose: This study aimed to investigate the relationship of plasma adiponectin levels with metabolic syndrome, related disorders and it's drug repurposing through in silico approach.
Materials and Methods: For this study, 269 individuals were recruited with written consent. The participants were selected based on their full medical history, clinical examination, and laboratory reports. Anthropometric measurements as well as blood pressure was measured before sample collection. Fasting blood samples were collected for the estimation of lipid profile, blood glucose, and serum adiponectin levels.
Results: Our results show that the adiponectin levels in the subjects with Met-S were significantly lower than those of without Met-S (p <0.0001). Among the metabolic syndrome risk factors, adiponectin levels were associated with hypertriglyceridemia and reduced HDL-cholesterol (p<0.0001). Three drugs (Saquinavir, Candesartan and Glimepiride) were suggested to control the plasma adiponectin level in the subjects with Met-S.
Conclusions: Since the plasma adiponectin levels are significantly lower in patients with Met-S, it might be used as diagnostic & prognostic marker for Met-S disorder and adiponectin targeted drugs might be minimize the Met-S of the subjects."
Anterior hypothalamic nucleus drives distinct defensive responses through cell-type-specific activity,"Cindy Yookyung,Jessica Sofia,Hannah,Jee Yoon,Jun Chul,Cindy Yookyung,Jessica Sofia,Hannah,Jee Yoon,Jun Chul,Cindy Yookyung,Jessica Sofia,Hannah,Jee Yoon,Jun Chul","Innate defensive behaviors, such as freezing, fleeing, and fighting, are essential for survival, enabling animals to effectively respond to predatory threats. These behaviors involve a complex interplay of sensory processing, decision-making, and motor output. As a core component of the medial hypothalamic defense system, the anterior hypothalamic nucleus (AHN) is a key brain region implicated in orchestrating innate defensive responses. Although the AHN is predominantly GABAergic, it also contains a smaller population of excitatory neurons, reflecting a sophisticated balance between inhibitory and excitatory signaling within this region. However, despite its importance, the specific behavioral functions of these diverse neuronal populations have not been systemically examined. In this study, we utilized fiber photometry and optogenetic stimulation to investigate the roles of AHN GABAergic, glutamatergic, and CaMKIIa+ neuronal activities in mediating innate defensive behaviors. Our results indicate that AHN GABAergic neurons mediate anxiety-associated investigatory behaviors, likely facilitating risk assessment during the pre-encounter stage. Conversely, AHN glutamatergic neurons drive escape initiation and freezing responses associated with the post-encounter stage. The AHN CaMKIIa+ neurons, which exhibit significant heterogeneity, suggest a more nuanced role, potentially balancing escape and freezing responses. By elucidating the functional specialization of different AHN neuron subtypes, this study provides a foundation for future investigations into the neural circuits underlying innate defensive behaviors and its dysregulation in neuropsychiatric conditions characterized by dysregulated responses to threats, such as PTSD and panic disorder."
"Learning Impairments in , mice on an Audio-Visual Temporal Pattern Discrimination Task","William,Sam,Megan,Anubhuti,William,Sam,Megan,Anubhuti,William,Sam,Megan,Anubhuti","Estimating time and making predictions is integral to our experience of the world. Given the importance of timing to most behaviors, disruptions in temporal processing and timed performance are reported in a number of neuropsychiatric disorders such as Schizophrenia, Autism Spectrum Disorder (ASD), Fragile X Syndrome (FXS), and Attention-deficit Hyperactivity Disorder (ADHD). Symptoms that implicitly include disruption in timing are atypical turn-taking during social interactions, unusual verbal intonations, poor reading, speech and language skills, inattention, delays in learning, and difficulties making predictions. Currently, there are no viable treatments for these symptoms, the reason being the underlying neural dysfunction that contributes to timing deficits in neuropsychiatric disorders is unknown. To address this unknown, we have designed a novel Temporal Pattern Discrimination Task (TPSD) for awake-behaving mice. Stimuli consist of audiovisual stimuli that differ in duration. Compared to Wild-Type (WT) mice, , mice, a well-established mouse model of FXS, showed significant impairment in learning the TPSD task, as evidenced by reduced discriminability indices and atypical licking patterns. Often sensory information is multimodal and indeed studies show that learning in humans and rodents improves with multimodal stimuli than with unimodal stimuli. To test how the multimodal nature of stimuli impacted performance of , mice, following training on the audiovisual stimuli, we tested mice on audio-only or visual-only stimuli. While WT mice showed significant disruption in performance when tested on unimodal stimuli, , mice displayed equivalent performance on visual-only stimuli when compared to the multimodal task. Our novel task captures timing difficulties and multisensory integration issues in , mice and provides an assay to examine the associated neural dysfunction."
"3D photogrammetry as a low cost, portable and noninvasive method for acoustic modeling of hearing","Karsten Krautwald,Felix T.,Florence,Lasse,Karsten Krautwald,Felix T.,Florence,Lasse,Karsten Krautwald,Felix T.,Florence,Lasse","Animals with specialized hearing such as bats utilize the directionality of their hearing for complicated tasks such as navigation and foraging. The directionality of hearing can be described through the head related transfer function (HRTF). Current state of the art for obtaining the HRTF involves either direct measurement with a microphone at the eardrum, or a μCT (micro computed tomography) scan to create a 3D model of the head for acoustic modelling. Both methods usually involve dead animals."
Longitudinal evidence for the emergence of multiple intelligences in assistance dog puppies,"Hannah,Morgan,Candler,Kara,Vanessa,Emily,Brenda,Theadora,Laura,Ashton,Margaret,Brian,Hannah,Morgan,Candler,Kara,Vanessa,Emily,Brenda,Theadora,Laura,Ashton,Margaret,Brian,Hannah,Morgan,Candler,Kara,Vanessa,Emily,Brenda,Theadora,Laura,Ashton,Margaret,Brian","Cognitive test batteries suggest that adult dogs have different types of cognitive abilities that vary independently. In the current study, we tested puppies repeatedly over a crucial period of development to explore the timing and rate at which these different cognitive skills develop. Service dog puppies (n = 113), raised using two different socialization strategies, were either tested longitudinally (n =91) or at a single time point (n = 22). Subjects tested longitudinally participated in the battery every two weeks during and just beyond their final period of rapid brain growth (from approximately 8-20 weeks of age). Control puppies only participated in the test battery once, which allowed us to evaluate the impact of repeated testing. In support of the multiple intelligences hypothesis (MIH), cognitive skills emerged at different points across the testing period, not simultaneously. Maturational patterns also varied between cognitive skills, with puppies showing adult-like performance on some tasks only weeks after a skill emerged, while never achieving adult performance in others. Differences in rearing strategy did not lead to differences in developmental patterns while, in some cases, repeated testing did. Overall, our findings provide strong support for the MIH by demonstrating differentiated development across the cognitive abilities tested."
Predictable sequential structure augments auditory sensitivity at threshold,"Nadège,Grégory,Hadrien,Nihaad,Nicolas,Diane S.,Keith B.,Luc H.,Nadège,Grégory,Hadrien,Nihaad,Nicolas,Diane S.,Keith B.,Luc H.,Nadège,Grégory,Hadrien,Nihaad,Nicolas,Diane S.,Keith B.,Luc H.", Lead contact
Mapping the landscape of social behavior,"Ugne,Tianqing,Diego,Jumana F.,Bence P.,Timothy W.,Ugne,Tianqing,Diego,Jumana F.,Bence P.,Timothy W.,Ugne,Tianqing,Diego,Jumana F.,Bence P.,Timothy W.",
" wintering in a central California urban setting arrive later, leave earlier, prefer sheltered micro-habitat, tolerate rain, and contend with diverse predators","Martin A,Martin A,Martin A","The wintering phase of the Western Burrowing Owl (,) life cycle has received little attention in the literature. Small numbers of Burrowing Owls have been observed and recorded since 2008 in the winter season in Cesar Chavez Park, a 36-ha peninsula that forms part of the waterfront of the City of Berkeley. The relative ease of observation in this setting allows study of their arrival and departure dates, selection of micro-habitats, tolerance of human presence, behavior in inclement weather, and response to avian and canine predator threats. Viewed over a decade, fewer owls arrived, arrived later, left earlier, and spent less time in residence. Most owls settled in shoreline rip-rap or in tall vegetation; only one fourth settled in short grass. Owls chose exposure to rain for as long as two days. Owls varied widely in tolerance to human proximity. Owls successfully dealt with avian predators, but displayed stress and in some cases became casualties of loose ,. Recommendations for habitat management follow."
